# Constructed from biom file
OTU ID	F0F1..966.colon	F0F1..972.colon	F0F1.941.colon	F0F1.942.colon	F0F1.943.colon	F0F1.944.colon	F0F1.945.colon	F0F1.946.colon	F0F1.947.colon	F0F1.948.colon	F0F1.949.colon	F0F1.950.colon	F0F1.951.colon	F0F1.952.colon	F0F1.954.colon	F0F1.955.colon	F0F1.956.colon	F0F1.957.colon	F0F1.958.colon	F0F1.959.colon	F0F1.960.colon	F0F1.961.colon	F0F1.962.colon	F0F1.963.colon	F0F1.964.colon	F0F1.965.colon	F0F1.967.colon	F0F1.968.colon	F0F1.969.colon	F0F1.970.colon	F0F1.971.colon	F0F1.973.colon	F0F1.974.colon	F0F1.975.colon	F0F1.976.colon	F0F1.978.colon	F0F1.979.colon	F0F1.980.colon	F0F1.981.colon	F0F1.982.colon	F0F1.983.colon	F0F1.984.colon	F0F1.985.colon
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.596949812518	0.744940978078	0.846011333915	0.77180460434	0.731921110299	0.827550980315	0.838925880498	0.776338053255	0.74237867142	0.767754563636	0.678303498477	0.753726893262	0.654894671623	0.642567958357	0.73251155624	0.715650741351	0.685277907856	0.670109546166	0.7489610955	0.77266760021	0.839975380828	0.650892312386	0.782318448354	0.910720104268	0.71850848538	0.315334249454	0.636500880651	0.570653344244	0.560901339829	0.627683770015	0.50046093145	0.737752161383	0.686780606906	0.849068210602	0.81285129415	0.734459151073	0.0633763320247	0.347140730362	0.272160444797	0.664364948545	0.738183371298	0.521671959488	0.661610878661
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deverribacteraceae;g__Mucispirillum	0.0617608883761	0.0414960250542	0.00940860215054	0.0149352256787	0.0381208911614	0.0095084672508	0.0167776414929	0.0286312227269	0.0114366343619	0.00378707289052	0.00843051325856	0.0127353266888	0.00471568222498	0.00231347599769	0.0074345146379	0.00960225935514	0.00291776232845	0.0401967359714	0.00993390588515	0.00945212672851	0.00665486998	0.0657413056742	0.0198917456022	0.00973896672821	0.00346585929408	0.0229973324711	0.00620649165478	0.0193806796158	0.0227999390987	0.0263373362445	0.011799845127	0.0175496933422	0.0222454753323	0.0217115976117	0.0228297828048	0.0139662254678	0.00280426247897	0.00569226727384	0.0101270849881	0.0177752038134	0.0368735763098	0.0682344863102	0.0143305439331
k__Bacteria;p__Firmicutes;c__;o__;f__;g__	0.0280862417075	0.018429294146	0.0165286253996	0.0167092994471	0.0273466033601	0.00231818003222	0.00201506921325	0.00489803188173	0.00939437822584	0.00289349389388	0.0130728663745	0.021424312122	0.00530083987333	0.000848274532485	0.00181047765794	0.00560131795717	0.00266561002846	0.0126536999776	0.011873194285	0.0042884649046	0.0058085859363	0.0247101891397	0.01750112765	0.00343941204156	0.00167317345231	0.0115592918923	0.00977103078084	0.0395796545932	0.0235612058465	0.00868813682678	0.000811239352483	0.00746323801079	0.02697360772	0.00669440926361	0.0148150718201	0.00164308534916	0.00224340998317	0.00271477362291	0.0017077045274	0.0109145988328	0.0213553530752	0.0167367607931	0.0284518828452
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.71319297464e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.97140587768e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.0	3.01132257287e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.51861316978e-05	0.0	3.85579332948e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.54876273654e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4549382991e-05	0.0	8.58295425285e-05	0.00010460251046
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.0	3.01132257287e-05	3.63266492299e-05	0.0	4.565376187e-05	7.85823739735e-05	0.0	0.0	3.71319297464e-05	8.51027615846e-05	0.0	0.0	0.0	0.0	3.85208012327e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.51059990979e-05	0.0	3.98374631503e-05	4.04171045186e-05	4.19357544242e-05	0.0	0.0	0.0	7.3749032044e-05	0.0	0.0	0.0	0.0	9.12825193975e-05	0.00084127874369	0.000175146685349	0.0	0.0	0.0	8.58295425285e-05	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.143676088838	0.0279450734763	0.0434829991282	0.137882663586	0.112399561724	0.143845035559	0.124101980025	0.184611274379	0.102335598381	0.0687630313604	0.205749090099	0.0267058522872	0.196681811923	0.200424137266	0.188597842835	0.0772417039303	0.126148193509	0.0543259557344	0.114220129022	0.132986171889	0.0452761963379	0.13975747407	0.0419936851601	0.0116215922668	0.0876025814676	0.410071942446	0.144678352764	0.185839183427	0.234584348356	0.140147379913	0.380323758251	0.157319145792	0.160058907879	0.0176949520536	0.0400388592048	0.123596531264	0.802299495233	0.483492424906	0.404090548054	0.191250501181	0.0495444191344	0.24203930993	0.18640167364
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.0527473319873	0.0287581305709	0.0212147631502	0.0170393596831	0.0284879474069	0.0131625476406	0.0180918170668	0.00525425238222	0.00861460770116	0.00348921322497	0.00642501671247	0.0226169179658	0.0327344072697	0.0249469828417	0.00670261941448	0.0513061896917	0.0207125103563	0.0672479320367	0.00787588554241	0.00402590582881	0.00550084628404	0.0166259914582	0.0178619756428	0.00673400673401	0.0160943351127	0.0327782717646	0.0776650171937	0.0774365821095	0.0295752131547	0.0846069868996	0.0165566576939	0.0100125618858	0.0139518660621	0.00785236113624	0.0131843730484	0.0364217252396	0.0283230510376	0.0187406953323	0.0139793486894	0.0328328952644	0.0730353075171	0.0559608617286	0.0331589958159
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium	3.60542255552e-05	0.103679836184	0.0632446963092	0.0415875897351	0.0612216946676	0.00353620682881	0.0	8.90551251225e-05	0.0256581634548	0.00268073698992	0.0277798410458	0.0997103671522	0.00512873468264	0.000385579332948	3.85208012327e-05	4.70698987997e-05	0.0	0.0	0.0227173783987	0.0031507089095	0.011501769503	0.055826723612	0.0577356788453	0.00742188914232	3.98374631503e-05	0.0	0.0	0.0	0.0	0.000500363901019	3.6874516022e-05	0.0166999187172	0.0375150176336	0.00774380314818	0.0393102491153	0.000456412596988	0.0	0.0	0.000754567116759	0.000222746914955	0.0	8.58295425285e-05	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptoclostridium[clostridium]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.45275625612e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.81330079317e-05	0.0	7.24086745592e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69467228257e-05	3.87551835058e-05	0.0	0.0	0.000182565038795	0.0	0.0	0.0	0.00084643827683	0.00740318906606	0.000514977255171	0.000209205020921
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia	0.116743582348	0.0346904360395	7.26532984598e-05	4.12575294991e-05	0.0004565376187	0.0	8.76117049238e-05	0.000133582687684	0.100107682596	0.150546785243	0.0602391740325	0.0629951443905	0.100543852403	0.128475033738	0.0628659476117	0.140550717816	0.162278015922	0.155421417393	0.0844184113666	0.0734290215298	0.0852823511309	0.0464078706528	0.062652232747	0.0502516201441	0.172575890367	0.207218494867	0.125136291202	0.10711055601	0.128577953715	0.111990538574	0.0899369445776	0.0531663341462	0.0524357632833	0.0892346661842	0.0569703698564	0.0891830214514	0.100112170499	0.142043961818	0.297140587768	0.0817481177886	0.0736047835991	0.0945841558664	0.0757322175732
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.47127207691e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
